Sku,WebSku,ProdReference,Size,Capacity,ColorDesc1,ColorHex1,ColorDesc2,ColorHex2,ColorCode,OptionalImage1,OptionalImage2,YourPrice,MinQt1,Price1,MinQt2,Price2,MinQt3,Price3,MinQt4,Price4,MinQt5,Price5,MinQt6,Price6,MinQt7,Price7,MinQt8,Price8,MinQt9,Price9,MinQt10,Price10
97124-160,97124-160,97124,,,Natural,#BB8B64,,,160,97124_160.jpg,,,1.0,95.0,10.0,93.1,50.0,91.68,105.0,90.25,255.0,88.5,,,,,,,,,,
97125-160,97125-160,97125,,,Natural,#BB8B64,,,160,97125_160.jpg,,,1.0,59.0,10.0,57.82,50.0,56.94,105.0,56.05,510.0,55.0,,,,,,,,,,
97126-103,97126-103,97126,,,Preto,#000000,,,103,97126_103.jpg,,,1.0,95.0,10.0,93.1,50.0,91.68,105.0,90.25,255.0,88.5,,,,,,,,,,
97127-160,97127-160,97127,,,Natural,#BB8B64,,,160,97127_160.jpg,,,1.0,29.0,25.0,28.42,255.0,27.99,510.0,27.55,1050.0,27.0,,,,,,,,,,
97128-160,97128-160,97128,,,Natural,#BB8B64,,,160,97128_160.jpg,,,1.0,49.0,25.0,48.02,105.0,47.29,255.0,46.55,510.0,45.5,,,,,,,,,,
97132-160,97132-160,97132,,,Natural,#BB8B64,,,160,97132_160.jpg,,,1.0,41.0,25.0,40.18,105.0,39.57,255.0,38.95,510.0,38.0,,,,,,,,,,
97133-103,97133-103,97133,,,Preto,#000000,,,103,97133_103.jpg,,,1.0,68.0,10.0,66.64,50.0,65.62,105.0,64.6,510.0,63.5,,,,,,,,,,
97134-103,97134-103,97134,,,Preto,#000000,,,103,97134_103.jpg,,,1.0,42.0,25.0,41.16,105.0,40.53,255.0,39.9,510.0,39.0,,,,,,,,,,
97135-103,97135-103,97135,,,Preto,#000000,,,103,97135_103.jpg,,,1.0,159.0,10.0,157.41,25.0,155.03,50.0,152.64,255.0,149.0,,,,,,,,,,
97136-103,97136-103,97136,,,Preto,#000000,,,103,97136_103.jpg,,,1.0,159.0,10.0,157.41,25.0,155.03,50.0,152.64,255.0,149.0,,,,,,,,,,
97137-103,97137-103,97137,,,Preto,#000000,,,103,97137_103.jpg,,,1.0,88.0,10.0,86.24,50.0,84.92,105.0,83.6,255.0,82.0,,,,,,,,,,
97137-127,97137-127,97137,,,Cromado satinado,#868686,,,127,97137_127.jpg,,,1.0,88.0,10.0,86.24,50.0,84.92,105.0,83.6,255.0,82.0,,,,,,,,,,
97138-103,97138-103,97138,,,Preto,#000000,,,103,97138_103.jpg,,,1.0,179.0,10.0,176.32,25.0,173.63,50.0,169.16,105.0,165.0,,,,,,,,,,
97140-103,97140-103,97140,,,Preto,#000000,,,103,97140_103.jpg,,,1.0,139.0,10.0,136.22,25.0,134.14,50.0,132.05,255.0,129.0,,,,,,,,,,
97141-103,97141-103,97141,,,Preto,#000000,,,103,97141_103.jpg,,,1.0,79.0,10.0,77.42,50.0,76.24,105.0,75.05,255.0,73.5,,,,,,,,,,
97141-106,97141-106,97141,,,Branco,#FFFFFF,,,106,97141_106.jpg,,,1.0,79.0,10.0,77.42,50.0,76.24,105.0,75.05,255.0,73.5,,,,,,,,,,
97142-103,97142-103,97142,,,Preto,#000000,,,103,97142_103.jpg,,,1.0,105.0,10.0,102.9,50.0,101.33,105.0,99.75,255.0,98.0,,,,,,,,,,
97142-133,97142-133,97142,,,Cinza escuro,#4D4D4D,,,133,97142_133.jpg,,,1.0,105.0,10.0,102.9,50.0,101.33,105.0,99.75,255.0,98.0,,,,,,,,,,
97143-103,97143-103,97143,,,Preto,#000000,,,103,97143_103.jpg,,,1.0,125.0,10.0,123.13,25.0,121.25,50.0,118.13,255.0,115.0,,,,,,,,,,
97143-133,97143-133,97143,,,Cinza escuro,#4D4D4D,,,133,97143_133.jpg,,,1.0,125.0,10.0,123.13,25.0,121.25,50.0,118.13,255.0,115.0,,,,,,,,,,
97144-103,97144-103,97144,,,Preto,#000000,,,103,97144_103.jpg,,,1.0,105.0,10.0,102.9,50.0,101.33,105.0,99.75,255.0,98.0,,,,,,,,,,
97145-103,97145-103,97145,,,Preto,#000000,,,103,97145_103.jpg,,,1.0,19.9,50.0,19.5,255.0,19.2,510.0,18.91,1050.0,18.5,,,,,,,,,,
97145-106,97145-106,97145,,,Branco,#FFFFFF,,,106,97145_106.jpg,,,1.0,19.9,50.0,19.5,255.0,19.2,510.0,18.91,1050.0,18.5,,,,,,,,,,
97146-103,97146-103,97146,,,Preto,#000000,,,103,97146_103.jpg,,,1.0,36.0,25.0,35.28,105.0,34.74,255.0,34.2,510.0,33.5,,,,,,,,,,
97147-103,97147-103,97147,,,Preto,#000000,,,103,97147_103.jpg,,,1.0,88.0,10.0,86.24,50.0,84.92,105.0,83.6,255.0,82.0,,,,,,,,,,
97147-106,97147-106,97147,,,Branco,#FFFFFF,,,106,97147_106.jpg,,,1.0,88.0,10.0,86.24,50.0,84.92,105.0,83.6,255.0,82.0,,,,,,,,,,
97150-103,97150-103,97150,,,Preto,#000000,,,103,97150_103.jpg,,,1.0,1.45,510.0,1.42,2550.0,1.4,5100.0,1.38,10100.0,1.35,,,,,,,,,,
97150-105,97150-105,97150,,,Vermelho,#DD2A34,,,105,97150_105.jpg,,,1.0,1.45,510.0,1.42,2550.0,1.4,5100.0,1.38,10100.0,1.35,,,,,,,,,,
97150-106,97150-106,97150,,,Branco,#FFFFFF,,,106,97150_106.jpg,,,1.0,1.45,510.0,1.42,2550.0,1.4,5100.0,1.38,10100.0,1.35,,,,,,,,,,
97150-114,97150-114,97150,,,Azul royal,#3C53A0,,,114,97150_114.jpg,,,1.0,1.45,510.0,1.42,2550.0,1.4,5100.0,1.38,10100.0,1.35,,,,,,,,,,
97150-127,97150-127,97150,,,Cromado satinado,#868686,,,127,97150_103_127.jpg,,,1.0,1.45,510.0,1.42,2550.0,1.4,5100.0,1.38,10100.0,1.35,,,,,,,,,,
97152-105,97152-105,97152,,,Vermelho,#DD2A34,,,105,97152_105.jpg,,1.99,1.0,1.99,,,,,,,,,,,,,,,,,,
97153-106,97153-106,97153,,,Branco,#FFFFFF,,,106,97153_106.jpg,,,1.0,7.3,105.0,7.15,510.0,7.04,1050.0,6.94,2550.0,6.8,,,,,,,,,,
97162-103,97162-103,97162,,,Preto,#000000,,,103,97941_97944_97162_103.jpg,,,1.0,15.5,50.0,15.35,255.0,15.11,510.0,14.88,2550.0,14.5,,,,,,,,,,
97162-105,97162-105,97162,,,Vermelho,#DD2A34,,,105,97941_97944_97162_105.jpg,,,1.0,15.5,50.0,15.35,255.0,15.11,510.0,14.88,2550.0,14.5,,,,,,,,,,
97162-106,97162-106,97162,,,Branco,#FFFFFF,,,106,97941_97944_97162_106.jpg,,,1.0,15.5,50.0,15.35,255.0,15.11,510.0,14.88,2550.0,14.5,,,,,,,,,,
97162-114,97162-114,97162,,,Azul royal,#3C53A0,,,114,97941_97944_97162_114.jpg,,,1.0,15.5,50.0,15.35,255.0,15.11,510.0,14.88,2550.0,14.5,,,,,,,,,,
97163-103,97163-103,97163,,,Preto,#000000,,,103,97163_103.jpg,,,1.0,49.0,25.0,48.02,105.0,47.29,255.0,46.55,510.0,45.5,,,,,,,,,,
97163-106,97163-106,97163,,,Branco,#FFFFFF,,,106,97163_106.jpg,,,1.0,49.0,25.0,48.02,105.0,47.29,255.0,46.55,510.0,45.5,,,,,,,,,,
97163-114,97163-114,97163,,,Azul royal,#3C53A0,,,114,97163_114.jpg,,,1.0,49.0,25.0,48.02,105.0,47.29,255.0,46.55,510.0,45.5,,,,,,,,,,
97164-103,97164-103,97164,,,Preto,#000000,,,103,97164_103.jpg,,,1.0,63.0,10.0,61.43,50.0,60.48,105.0,58.91,510.0,57.5,,,,,,,,,,
97164-127,97164-127,97164,,,Cromado satinado,#868686,,,127,97164_127.jpg,,,1.0,63.0,10.0,61.43,50.0,60.48,105.0,58.91,510.0,57.5,,,,,,,,,,
97165-103,97165-103,97165,,,Preto,#000000,,,103,97165_103.jpg,,,1.0,85.0,10.0,83.3,50.0,82.03,105.0,80.75,255.0,79.0,,,,,,,,,,
97165-127,97165-127,97165,,,Cromado satinado,#868686,,,127,97165_127.jpg,,,1.0,85.0,10.0,83.3,50.0,82.03,105.0,80.75,255.0,79.0,,,,,,,,,,
97166-103,97166-103,97166,,,Preto,#000000,,,103,97166_103.jpg,,,1.0,89.0,10.0,87.22,50.0,85.89,105.0,84.55,255.0,83.0,,,,,,,,,,
97166-106,97166-106,97166,,,Branco,#FFFFFF,,,106,97166_106.jpg,,,1.0,89.0,10.0,87.22,50.0,85.89,105.0,84.55,255.0,83.0,,,,,,,,,,
97167-103,97167-103,97167,,,Preto,#000000,,,103,97167_103.jpg,,,1.0,105.0,10.0,102.9,50.0,101.33,105.0,99.75,255.0,98.0,,,,,,,,,,
97167-106,97167-106,97167,,,Branco,#FFFFFF,,,106,97167_106.jpg,,,1.0,105.0,10.0,102.9,50.0,101.33,105.0,99.75,255.0,98.0,,,,,,,,,,
